DATE,Open,High,Low,Close,Volume
2017-08-25,139.8471,140.2192,138.8482,139.0343,26380436.0
2017-08-28,139.4652,139.7883,139.0148,139.4652,15362141.0
2017-08-29,138.2606,140.2486,138.1431,140.0136,24498333.0
2017-08-30,140.1507,141.8939,140.043,141.6589,33642716.0
2017-08-31,142.031,143.1866,141.982,143.1768,38480747.0
2017-09-01,143.3335,143.5538,142.599,142.9809,22293553.0
2017-09-05,142.5402,142.8634,140.6306,141.698,45480562.0
2017-09-06,142.0604,142.4521,141.1006,142.1289,30722723.0
2017-09-07,142.3933,142.8242,141.9429,142.4619,22721131.0
2017-09-08,142.2758,142.3444,141.0811,141.228,27890115.0
2017-09-11,142.2954,143.0985,142.2954,142.8536,27126332.0
2017-09-12,143.2258,143.3825,142.5207,143.1964,30256661.0
2017-09-13,142.932,143.4118,142.7165,143.3923,28450864.0
2017-09-14,142.834,143.2619,142.4619,142.55,35296413.0
2017-09-15,142.55,143.5587,142.2856,143.0397,46422402.0
2017-09-18,143.1765,143.6574,142.4208,142.8526,24858157.0
2017-09-19,143.1078,143.3041,142.6171,143.098,20871237.0
2017-09-20,143.0489,143.2059,141.5571,142.6563,34236155.0
2017-09-21,142.5582,142.568,141.2823,141.7828,28841835.0
2017-09-22,141.3313,141.8515,141.189,141.6454,21702401.0
2017-09-25,141.086,141.1644,139.4666,140.1536,54947712.0
2017-09-26,140.8504,141.135,140.026,140.5167,29628806.0
2017-09-27,141.2626,142.3128,140.9093,141.7828,33249403.0
2017-09-28,141.4687,141.8776,141.1154,141.7337,24149422.0
2017-09-29,142.0184,142.8575,141.6454,142.7545,43102366.0
2017-10-02,142.9704,143.4611,142.2441,142.8821,27351260.0
2017-10-03,143.0391,143.3532,142.7545,143.1863,19715152.0
2017-10-04,142.9017,143.628,142.7741,143.3237,26381099.0
2017-10-05,143.8243,144.8057,143.693,144.7272,31562353.0
2017-10-06,144.2463,144.9235,144.2365,144.9235,23561069.0
2017-10-09,145.1198,145.2663,144.5702,144.7567,13704835.0
2017-10-10,145.2376,145.3946,144.2267,144.8646,19223092.0
2017-10-11,144.7959,145.3259,144.6094,145.2965,12439051.0
2017-10-12,145.1002,145.6056,144.8793,145.0315,14513477.0
2017-10-13,145.6498,145.7578,145.0385,145.5909,18409888.0
2017-10-16,145.9442,146.1307,145.6427,146.0915,21809410.0
2017-10-17,146.0326,146.2976,145.8166,146.2779,13138157.0
2017-10-18,146.4448,146.4448,145.8854,146.1013,17218243.0
2017-10-19,145.2768,145.5811,144.5407,145.5615,27680285.0
