,N,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,토론실,Unnamed: 12
43,28.0,S-Oil,92700.0,0.0,0.00%,2500.0,172705.0,104364.0,6395.0,41.89,1.66,,
44,29.0,LG전자,60700.0,100.0,+0.17%,5000.0,282902.0,99334.0,27033.0,8.85,3.44,,
45,30.0,하나금융지주,32100.0,300.0,+0.94%,5000.0,724311.0,96378.0,31522.0,4.3,0.61,,
49,31.0,고려아연,432000.0,5000.0,-1.14%,5000.0,24862.0,81518.0,7647.0,15.46,7.5,,
50,32.0,넷마블,94200.0,600.0,-0.63%,100.0,114097.0,80758.0,2417.0,42.32,3.99,,
51,33.0,우리금융지주,11550.0,100.0,-0.86%,5000.0,569718.0,78559.0,,,,,
52,34.0,롯데케미칼,227500.0,3500.0,+1.56%,5000.0,77520.0,77977.0,19674.0,4.94,8.14,,
53,35.0,한국조선해양,108500.0,1000.0,+0.93%,5000.0,171349.0,76789.0,-5225.0,-14.87,-1.65,,
57,36.0,아모레퍼시픽,124000.0,2000.0,-1.59%,500.0,139477.0,72489.0,4820.0,25.76,6.23,,
58,37.0,KT,27000.0,50.0,-0.18%,5000.0,286806.0,70500.0,12615.0,10.24,2.46,,
59,38.0,기업은행,12150.0,50.0,-0.41%,5000.0,606070.0,69856.0,23964.0,4.56,0.63,,
60,39.0,삼성전기,88300.0,900.0,-1.01%,5000.0,607181.0,65955.0,10181.0,10.44,8.35,,
61,40.0,강원랜드,28200.0,200.0,-0.70%,500.0,203154.0,60331.0,4307.0,20.29,7.06,,
65,41.0,웅진코웨이,80800.0,300.0,+0.37%,500.0,122119.0,59630.0,5198.0,17.06,15.42,,
66,42.0,한온시스템,11150.0,50.0,-0.45%,100.0,376186.0,59519.0,4338.0,21.44,5.99,,
67,43.0,현대글로비스,156500.0,500.0,-0.32%,500.0,42503.0,58688.0,7101.0,13.42,5.18,,
68,44.0,KODEX 200,25645.0,25.0,-0.10%,0.0,2994532.0,57778.0,,,,,
69,45.0,LG유플러스,12350.0,50.0,-0.40%,5000.0,797030.0,53922.0,7309.0,11.2,3.72,,
73,46.0,현대중공업지주,322500.0,5000.0,+1.57%,5000.0,22218.0,52524.0,8614.0,19.55,1.28,,
74,47.0,현대제철,36750.0,300.0,-0.81%,5000.0,135784.0,49041.0,10261.0,12.3,1.22,,
75,48.0,미래에셋대우,7340.0,20.0,+0.27%,5000.0,974405.0,48320.0,5123.0,12.74,0.44,,
