종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA
이노션,68400,800,-1.16%,500,15039,13680,1182,17.8,5.49
한국테크놀로지그룹,14650,150,-1.01%,500,23192,13627,2115,6.58,6.41
한올바이오파마,25700,300,-1.15%,500,156500,13426,55,407.94,1.99
LS산전,44450,750,-1.66%,5000,55361,13335,2050,10.14,5.67
SK네트웍스,5290,80,-1.49%,2500,569730,13129,1379,182.41,0.1
신세계인터내셔날,183500,4500,2.51%,5000,38685,13102,555,22.79,5.97
두산인프라코어,6120,40,-0.65%,5000,386985,12739,8481,5.17,3.7
LG화학우,165500,2000,1.22%,5000,10687,12725,,8.8,
녹십자,108000,1000,-0.92%,5000,18087,12621,502,36.66,2
F&F,81700,0,0.00%,500,53917,12582,915,11.52,24.4
아시아나항공,5510,50,-0.90%,5000,1277393,12190,282,-5.72,-2.33
현대오토에버,57400,1300,2.32%,500,27406,12054,702,21.96,6.76
금호타이어,4160,55,-1.30%,5000,288090,11950,-789,-5.29,-4.19
NHN,61000,100,0.16%,500,50740,11935,686,13.36,4.54
두산중공업,5890,10,0.17%,5000,529182,11906,10017,-1.61,-1.69
GKL,19100,200,-1.04%,500,79601,11814,1051,15.19,
DGB금융지주,6870,80,-1.15%,5000,328403,11620,3366,3.03,0.67
태광산업,1035000,8000,-0.77%,5000,392,11524,3315,5.38,5.79
현대위아,42200,50,-0.12%,5000,101982,11476,50,-20.66,-0.78
KBSTAR 200,25640,30,-0.12%,0,571118,11410,,,
롯데정밀화학,43500,650,-1.47%,5000,62556,11223,2107,5.22,12.87
현대홈쇼핑,93200,1600,-1.69%,5000,10150,11184,1123,6.71,7.53
KODEX 코스닥150 레버리지,6600,100,-1.49%,0,23079416,11075,,,
현대그린푸드,11300,150,-1.31%,500,76549,11041,1372,10.7,4.52
코오롱인더,40750,750,-1.81%,5000,53687,10994,1449,18.11,0.76
영풍,592000,4000,-0.67%,5000,793,10905,-1089,9.85,0.97
KODEX 종합채권(AA-이상)액티브,109425,125,-0.11%,0,45021,10884,,,
JB금융지주,5460,100,-1.80%,5000,210747,10755,4168,3.73,0.68
현대상선,3315,70,-2.07%,5000,473104,10494,-5587,-1.31,-20.47
롯데칠성,131000,3500,-2.60%,500,17472,10471,850,-23.91,-1.47
에스엘,21600,0,0.00%,500,59874,10412,167,24.3,1.93
TRUE 코스피 양매도 5% OTM ETN,10455,0,0.00%,0,203398,10340,,,
더블유게임즈,56500,900,-1.57%,500,39358,10317,1358,11.6,8.8
한국콜마,43550,750,-1.69%,500,269880,9965,900,22.29,2.58
오리온홀딩스,15600,250,-1.58%,500,30249,9773,2305,17.35,2.74
KODEX 삼성그룹,6010,10,0.17%,0,1253059,9640,,,
롯데제과,150000,1000,-0.66%,500,4310,9625,644,68.59,0.38
태영건설,12550,300,-2.33%,500,104896,9588,4635,5.23,5.03
코리안리,7780,30,0.39%,500,157423,9365,1436,9.1,0.99
KODEX 200TR,8045,0,0.00%,0,936654,9328,,,
