종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA
콤텍시스템,1440,30,-2.04%,500,740958,689,32,9.66,6.2
CS홀딩스,59000,400,0.68%,5000,276,681,133,10.86,4.17
TBH글로벌,3265,170,5.49%,500,1147743,681,-12,-1.18,-23.19
영풍제지,3065,40,-1.29%,500,21735,680,181,4.75,10.73
우리들제약,5850,140,-2.34%,500,36110,677,50,15.04,5.39
영보화학,3370,15,-0.44%,500,39497,674,72,11.74,3.19
그린케미칼,3370,15,-0.44%,500,4547,674,34,26.75,1.31
갤럭시아에스엠,2425,90,-3.58%,500,849514,668,-103,-4.17,-38.52
대림B&Co,3975,70,-1.73%,1000,13195,663,74,15.77,1.29
KBSTAR 200IT,8830,35,0.40%,0,1161,660,,,
평화산업,1200,10,0.84%,500,164855,659,-160,-1.18,-24.72
에넥스,1090,35,-3.11%,500,863750,654,9,47.39,0.71
YG PLUS,1120,45,-3.86%,500,219858,652,8,-560,-1.01
일성건설,1205,70,-5.49%,500,381828,651,99,26.78,0.79
유유제약,10200,100,0.99%,1000,14513,650,53,19.47,3.36
DSR,4050,10,-0.25%,500,24965,648,99,8.2,3.54
디아이씨,2695,105,-3.75%,500,201953,646,226,-9.07,-0.85
미래에셋대우우,4580,15,-0.33%,5000,7606,645,,7.95,
서울식품,191,1,-0.52%,100,2819460,644,11,95.5,0.81
컨버즈,3260,0,0.00%,500,0,641,-141,-3.2,-20.14
한국석유,97400,1300,-1.32%,5000,1791,638,83,14.5,1.45
금비,63800,200,-0.31%,5000,93,638,127,9.29,4.07
NI스틸,2230,5,0.22%,500,66879,638,165,6.23,4.12
KBSTAR KRX300,11790,10,-0.08%,0,1495,637,,,
SMART KRX300,11750,20,-0.17%,0,10126,634,,,
KODEX 은행,6420,25,-0.39%,0,45479,632,,,
인터지스,2120,60,-2.75%,500,49329,631,94,-4.67,-2.89
삼성 레버리지 천연가스 선물 ETN,8400,175,-2.04%,0,59006,630,,,
KBSTAR 중장기국공채액티브,104690,95,-0.09%,0,8,628,,,
영화금속,1375,10,0.73%,500,413228,625,11,59.78,0.53
GS우,35000,50,-0.14%,5000,3737,625,,3.67,
신한 S&P500 VIX S/T 선물 ETN B,20665,105,0.51%,0,34597,620,,,
우진아이엔에스,8120,230,-2.75%,500,33041,619,180,3.74,13.14
DSR제강,4265,45,-1.04%,500,23336,614,62,8.31,3.68
페이퍼코리아,682,1,0.15%,500,190306,613,22,-0.98,-6.09
메디파트너생명공학,9450,340,-3.47%,500,219603,610,-83,-4.62,-56.73
KBSTAR KQ고배당,9825,5,-0.05%,0,487,609,,,
대림통상,4000,15,0.38%,1000,752,609,-11,-54.05,-0.57
제일연마,6090,210,-3.33%,500,7895,609,56,11.32,5.42
한농화성,3880,30,-0.77%,500,16188,607,57,10.35,3.58
키다리스튜디오,3635,35,-0.95%,500,165583,596,3,363.5,0.73
윌비스,1045,0,0.00%,1000,72376,596,34,-8.93,-2.16
대구백화점,5500,100,-1.79%,5000,1418,595,-184,-1.99,-4.17
참엔지니어링,1180,75,-5.98%,500,246673,595,137,6.02,1.89
동양피스톤,4500,105,-2.28%,500,29610,593,174,5.15,3.81
태경화학,5090,110,-2.12%,500,222004,590,32,20.28,2.49
KOSEF 코스닥150,4395,35,-0.79%,0,52,585,,,
KODEX 증권,6310,25,-0.39%,0,70857,584,,,
선창산업,4620,0,0.00%,1000,2659,582,-71,-7.42,-1.48
혜인,4555,130,-2.77%,500,218615,579,62,-198.04,-0.33
한세엠케이,4475,5,0.11%,500,59158,578,24,14.44,1.91
KODEX 고배당,7780,35,-0.45%,0,5058,576,,,
KODEX Fn성장,9750,0,0.00%,0,21,575,,,
TIGER 차이나HSCEI,13045,175,1.36%,0,1873,574,,,
이구산업,1710,5,-0.29%,500,78226,572,-1,-21.65,-0.99
선도전기,3175,35,-1.09%,500,73211,572,11,-70.56,-0.53
TCC스틸,2550,5,0.20%,1000,61183,570,171,5.84,3.34
대원화성,1380,30,-2.13%,500,42043,569,52,21.23,2.13
평화홀딩스,3880,85,-2.14%,500,10020,567,-248,-1.43,-12.66
동방,1680,25,-1.47%,1000,103711,562,142,3.78,2.88
까뮤이앤씨,1245,35,2.89%,500,234235,562,41,31.92,1.23
KODEX 은선물(H),3805,5,-0.13%,0,124557,559,,,
진양화학,4615,125,-2.64%,500,126977,554,-6,-164.82,-0.82
롯데칠성우,71200,500,-0.70%,500,118,552,,-12.99,
부국증권우,18350,0,0.00%,5000,76,550,,8.46,
KBSTAR 고배당,9150,15,-0.16%,0,64,549,,,
문배철강,2670,20,-0.74%,500,50084,547,33,10.99,3.22
KODEX 중국본토CSI300,10135,100,1.00%,0,6321,547,,,
코오롱인더우,19750,50,-0.25%,5000,1939,547,,8.78,
베트남개발1,422,2,-0.47%,0,68669,546,,,
한신기계,1670,20,-1.18%,500,321007,542,48,16.21,3.7
덕성,3450,115,-3.23%,500,336403,541,-23,-29.24,-1.96
TIGER 국채3년,111540,130,-0.12%,0,40,535,,,
신송홀딩스,4460,40,0.90%,500,124145,528,-30,-3.79,-5.98
조일알미늄,750,5,-0.66%,500,66924,526,-82,-5,-3.02
한국프랜지,1725,0,0.00%,1000,49639,525,20,35.2,-0.16
서원,1100,20,-1.79%,500,291778,522,86,7.43,3.26
케이비아이동국실업,789,9,-1.13%,500,48238,521,-121,-4.38,-1.81
KODEX 중국본토 A50,17880,225,1.27%,0,11644,519,,,
KINDEX S&P아시아TOP50,10465,105,1.01%,0,1582,518,,,
KB KQ 우량주30 ETN,10210,65,-0.63%,0,1,510,,,
미래에셋 양매도 5% Auto-KO-C 2205-01 ETN,9970,0,0.00%,0,0,498,,,
신한 인버스 2X WTI원유 선물 ETN(H),4920,5,0.10%,0,120881,492,,,
삼성 코스피 풋매도 ETN,9815,0,0.00%,0,0,491,,,
KB 코스피 양매도 5% OTM ETN,9795,0,0.00%,0,0,490,,,
TRUE 코스피 양매도 ATM ETN,9780,0,0.00%,0,0,489,,,
KB KTOP30 ETN,9710,0,0.00%,0,0,486,,,
폴루스바이오팜,1225,0,0.00%,500,0,482,-96,-1.57,-22.23
우리들휴브레인,1980,20,-1.00%,500,77971,481,-66,-3.73,-24.67
TRUE 코스피 양매도 3% OTM ETN,9620,0,0.00%,0,0,481,,,
TIGER KRX300,11675,10,-0.09%,0,2476,479,,,
삼아알미늄,4345,75,-1.70%,500,32170,478,55,17.24,
세우글로벌,1660,20,-1.19%,500,176175,476,5,75.45,1.26
ARIRANG 코스피,19825,15,-0.08%,0,2149,476,,,
유한양행우,200500,500,0.25%,5000,35,474,,45.39,
지코,817,7,0.86%,500,439487,472,25,16.02,4.84
한일철강,2105,30,-1.41%,500,37280,470,-21,-6.08,-2.6
QV WISE 배당 ETN,9360,0,0.00%,0,0,468,,,
유엔젤,3530,20,-0.56%,500,22255,466,30,26.15,3.59
SJM,2980,10,0.34%,500,6135,465,7,11.16,1.84
QV Big Vol ETN,9240,0,0.00%,0,0,462,,,
롯데지주우,46650,400,-0.85%,200,5158,461,,26.72,
MH에탄올,6160,40,-0.65%,500,9889,455,12,-76.05,-2.56
흥아해운,466,0,0.00%,500,96940,454,-376,-0.42,-10.32
KODEX 200가치저변동,7560,5,-0.07%,0,2850,454,,,
이화산업,16150,150,0.94%,5000,135,452,5,-42.06,-0.58
한국특수형강,1395,10,-0.71%,500,20157,451,45,-4.51,-1.67
신한 레버리지 다우존스지수 선물 ETN(H),22525,260,1.17%,0,12699,450,,,
SJM홀딩스,3015,5,-0.17%,500,7112,450,18,14.64,2.12
동원수산,9610,300,-3.03%,5000,607315,447,50,25.03,1.37
바다로19호,2940,0,0.00%,5000,7187,447,22,6.04,15.53
형지엘리트,1410,20,-1.40%,500,79179,439,-12,-5.02,-4.07
진도,3495,10,-0.29%,500,7571,435,73,7.78,3.51
세하,1470,10,0.68%,1000,46945,435,100,8.17,3.02
유화증권우,12400,50,-0.40%,5000,5,433,,30.62,
국동,1570,20,1.29%,500,456464,433,57,8.49,2.58
신풍제지,1230,5,0.41%,500,90956,430,122,4.92,5.4
한국종합기술,3925,15,-0.38%,500,27512,430,-62,-6.48,-2.89
TIGER 원유선물Enhanced(H),3890,10,0.26%,0,41079,428,,,
KINDEX 코스피,19695,45,-0.23%,0,10034,423,,,
TIGER 200동일가중,8640,0,0.00%,0,0,423,,,
KODEX 미국S&P500선물(H),14030,30,0.21%,0,23644,421,,,
진양산업,3235,15,-0.46%,500,50050,421,30,17.49,4.94
KODEX China H,20970,160,0.77%,0,1487,419,,,
KOSEF 단기자금,102085,0,0.00%,0,6666,419,,,
TIGER 차이나CSI300인버스(합성),11275,120,-1.05%,0,53780,417,,,
코아스,1340,15,-1.11%,500,1516753,414,12,-268,-0.16
대동전자,3935,35,0.90%,500,7459,413,-2,12.69,2.06
주연테크,385,1,-0.26%,100,534362,411,-15,-7.86,-8.75
KODEX TRF3070,10240,20,0.20%,0,118544,410,,,
TIGER 미국MSCI리츠(합성 H),13935,85,0.61%,0,12506,404,,,
성문전자,2070,70,-3.27%,500,35508,403,8,207,0.45
WISCOM,2630,30,-1.13%,500,6069,403,-3,38.12,0.82
동일제강,2685,10,0.37%,500,19365,403,-3,298.33,0.09
케이탑리츠,890,13,1.48%,1000,750349,401,72,12.03,1.9
KBSTAR 국채선물10년,57740,170,-0.29%,0,661,398,,,
원림,18100,200,1.12%,5000,1708,398,20,-44.69,0.31
HANARO 코스닥150,8790,75,-0.85%,0,832,397,,,
하이스틸,19750,50,-0.25%,5000,6225,395,-52,-5.52,-2.99
체시스,1645,0,0.00%,500,187008,395,-3,-21.64,-2.08
인팩,3940,150,3.96%,500,26075,394,32,23.73,0.81
동원금속,830,6,0.73%,500,51470,388,-135,-1.7,-4.54
KBSTAR 중국본토대형주CSI100,16800,230,1.39%,0,6123,386,,,
삼성 레버리지 China A50 선물 ETN(H),38485,1035,2.76%,0,3900,385,,,
미래아이앤지,297,3,-1.00%,100,158126,385,-14,-3.54,-17.16
덕양산업,1180,20,-1.67%,500,55493,384,36,-196.67,-0.47
미래에셋 미국 항공우주 ETN(H),19180,95,0.50%,0,9124,384,,,
미래에셋 레버리지 S&P500 ETN(H),19170,135,0.71%,0,500,383,,,
태양금속,1040,5,-0.48%,500,38240,382,72,-7.76,-1.41
KODEX 필수소비재,7845,45,-0.57%,0,117,377,,,
KOSEF 국고채3년,112955,55,-0.05%,0,219,373,,,
TIGER 미국채10년선물,11965,15,-0.13%,0,24038,371,,,
TIGER 로우볼,10690,85,-0.79%,0,1141,370,,,
TIGER 중장기국채,54330,130,-0.24%,0,13888,369,,,
범양건영,1480,45,-2.95%,1000,75244,368,68,6.67,4.48
TIGER 유로스탁스50(합성 H),11425,5,0.04%,0,12893,366,,,
TIGER 농산물선물Enhanced(H),4455,15,0.34%,0,1424,365,,,
우진플라임,3650,10,0.27%,500,6393,365,-118,-2.69,-4.53
호텔신라우,48350,2400,5.22%,5000,24658,364,,17.53,
HANARO 200선물인버스,16905,25,0.15%,0,103,363,,,
TIGER 인버스,8055,0,0.00%,0,58564,362,,,
한성기업,5880,150,2.62%,5000,72784,360,8,-12.54,-1.2
KBSTAR 200선물레버리지,9725,20,-0.21%,0,2689,360,,,
에쓰씨엔지니어링,1415,15,1.07%,500,76758,354,10,2.5,13.78
하이골드12호,2700,5,-0.18%,5000,38758,352,24,14.84,6.29
TIGER 우량가치,9905,50,-0.50%,0,804,348,,,
신한,4945,0,0.00%,5000,0,347,230,-24.48,-1.02
한국전자홀딩스,737,2,0.27%,500,49504,345,32,-147.4,0.27
ARIRANG 단기유동성,110790,0,0.00%,0,0,342,,,
한솔로지스틱스,1245,35,-2.73%,500,77323,342,39,18.58,1.33
삼영화학,1005,40,-3.83%,500,47883,342,-63,-4.95,-7.17
KODEX China H 레버리지(H),6930,80,1.17%,0,21036,340,,,
KBSTAR 200선물인버스2X,8485,0,0.00%,0,172199,339,,,
KINDEX 중장기국공채액티브,103695,65,-0.06%,0,25,338,,,
TIGER 코스피대형주,9465,25,-0.26%,0,1,336,,,
TIGER 레버리지,10005,10,-0.10%,0,59496,330,,,
한솔PNS,1590,105,-6.19%,500,807374,326,50,9.09,3.71
TIGER 코스피고배당,10845,40,-0.37%,0,107,322,,,
KBSTAR 중소형고배당,8540,40,-0.47%,0,40,320,,,
대신 철광석 선물 ETN(H),15870,820,5.45%,0,1144,317,,,
경인전자,20200,50,-0.25%,5000,3016,317,-17,-46.65,-1.16
미래에셋 전기전자 Core5 ETN,15850,70,0.44%,0,2,317,,,
대신 2X 니켈선물 ETN(H),15695,15,-0.10%,0,4091,314,,,
에이엔피,376,17,-4.33%,500,364763,311,-47,-3.88,-4.84
신한 다우존스지수 선물 ETN(H),15445,55,0.36%,0,89,309,,,
남양유업우,183000,2000,-1.08%,5000,30,305,,80.51,
KOSEF 미국달러선물,12745,50,0.39%,0,28992,305,,,
신한 레버리지 은 선물 ETN(H),7600,70,-0.91%,0,40417,304,,,
QV 하드웨어 TOP5 ETN,15190,0,0.00%,0,0,304,,,
태원물산,3980,75,-1.85%,500,28579,302,0,84.68,0.9
삼성 미국 대형 성장주 ETN,14965,125,0.84%,0,1,299,,,
LG하우시스우,28950,0,0.00%,5000,348,299,,-5.45,
키위미디어그룹,150,0,0.00%,500,0,296,-132,-0.99,-21.83
미래에셋 미국 대형주 ETN(H),14785,25,-0.17%,0,44,296,,,
TIGER 소프트웨어,7960,25,-0.31%,0,4746,293,,,
ARIRANG KRX300,11700,0,0.00%,0,91,292,,,
ARIRANG 신흥국MSCI(합성 H),9880,0,0.00%,0,7197,292,,,
삼화전자,2795,5,-0.18%,1000,29688,292,-32,-6.65,-6.76
SK케미칼우,19950,50,-0.25%,5000,3161,291,,43.18,
삼성 China A50 선물 ETN(H),14395,0,0.00%,0,0,288,,,
HANARO 200선물레버리지,11640,25,-0.21%,0,16565,285,,,
삼성 Alerian 에너지인프라 MLP ETN,9505,0,0.00%,0,0,285,,,
삼성 미국 대형 성장주 ETN(H),14225,0,0.00%,0,0,284,,,
성안,498,9,-1.78%,500,85028,283,-107,-2.78,-4.34
웅진에너지,914,0,0.00%,5000,0,283,-561,-0.24,-38.93
BYC우,131000,1500,1.16%,5000,1383,282,,12.09,
하이골드3호,1745,5,0.29%,5000,37209,282,40,7.09,10.59
신한 인버스 옥수수 선물 ETN(H),14055,25,0.18%,0,4,281,,,
KOSEF 미국달러선물레버리지,10100,55,0.55%,0,34523,280,,,
미래에셋 미국 중형주 ETN(H),13950,0,0.00%,0,0,279,,,
ARIRANG 단기채권액티브,104285,5,0.00%,0,2927,277,,,
KODEX 200동일가중,8600,25,-0.29%,0,12,275,,,
삼성 Cushing 에너지인프라 MLP ETN,9140,0,0.00%,0,0,274,,,
ARIRANG 고배당저변동50,9385,60,-0.64%,0,1888,272,,,
TIGER 일본TOPIX(합성 H),12320,50,-0.40%,0,1426,271,,,
KOSEF 미국달러선물 인버스2X(합성),8040,50,-0.62%,0,11628,271,,,
TIGER 모멘텀,19040,20,-0.10%,0,119,270,,,
QV 레버리지 S&P500 ETN,13480,70,0.52%,0,24,270,,,
TIGER 단기선진하이일드(합성 H),11700,20,0.17%,0,2095,269,,,
KINDEX 삼성그룹섹터가중,9090,40,0.44%,0,21,264,,,
미래에셋 원자재 선물 ETN(H),8765,0,0.00%,0,0,263,,,
신한 인버스 콩 선물 ETN(H),13035,20,0.15%,0,109,261,,,
TIGER 2차전지테마,7435,115,1.57%,0,31256,260,,,
QV 소프트웨어 TOP5 ETN,12995,0,0.00%,0,0,260,,,
TIGER 부동산인프라고배당,5045,15,-0.30%,0,414343,260,,,
넥센타이어1우B,3985,0,0.00%,500,507,259,,4.01,
KODEX 삼성그룹밸류,6640,20,0.30%,0,1,259,,,
전방,15400,50,-0.32%,5000,2821,259,-87,-1.11,-5.98
신화실업,21250,100,-0.47%,5000,2016,258,13,39.72,0.95
TIGER 미국다우존스30,16120,80,0.50%,0,3315,258,,,
미래에셋 미국 고배당주 ETN(H),12880,0,0.00%,0,0,258,,,
미래에셋 호주 ASX200 ETN(H),12835,0,0.00%,0,0,257,,,
미래에셋 미디어엔터 Core5 ETN,12800,0,0.00%,0,0,256,,,
이스타코,597,18,3.11%,500,91802,256,-27,-6.15,-6.2
하이골드8호,1715,10,-0.58%,5000,10977,256,28,8.45,7.66
삼성 미국 대형 가치주 ETN,12725,0,0.00%,0,0,254,,,
신한 인버스 천연가스 선물 ETN(H),12685,0,0.00%,0,0,254,,,
TIGER 미국S&P500선물인버스(H),6560,30,-0.46%,0,214679,253,,,
KINDEX 싱가포르리츠,11990,125,1.05%,0,103117,252,,,
세방우,6790,30,0.44%,500,73,250,,3.6,
삼성 레버리지 금 선물 ETN(H),24965,250,-0.99%,0,5370,250,,,
신한 레버리지 미국달러 선물 ETN,12480,55,0.44%,0,525,250,,,
유안타증권우,1930,25,-1.28%,5000,3989,249,,3.91,
TIGER 200 금융,6230,0,0.00%,0,475,249,,,
삼성 인버스 2X WTI원유 선물 ETN,4975,5,-0.10%,0,24395,249,,,
삼성 미국 중소형 성장주 ETN,12340,0,0.00%,0,0,247,,,
미래에셋 에너지화학 Core5 ETN,12330,80,-0.64%,0,1,247,,,
삼성 미국 대형 가치주 ETN(H),12280,100,0.82%,0,508,246,,,
진양폴리,2455,175,-6.65%,500,154783,246,11,25.57,2.72
미래에셋 일본 대형주 ETN(H),12260,15,0.12%,0,1,245,,,
TIGER 우선주,8800,15,-0.17%,0,5101,245,,,
미래에셋 미국 헬스케어 ETN(H),12230,80,-0.65%,0,47,245,,,
신한 인버스 2X 다우존스지수 선물 ETN(H),6115,75,-1.21%,0,68989,245,,,
KODEX 배당성장,11005,50,-0.45%,0,1289,242,,,
미래에셋 유럽 대형주 ETN(H),12105,0,0.00%,0,0,242,,,
ARIRANG 단기우량채권,52465,10,0.02%,0,393,241,,,
신한 금 선물 ETN(H),12015,60,-0.50%,0,1931,240,,,
KOSEF 200선물레버리지,9730,15,-0.15%,0,3917,238,,,
미래에셋 원유선물혼합 ETN(H),23625,20,0.08%,0,6,236,,,
미래에셋 유럽 중형주 ETN(H),11805,0,0.00%,0,0,236,,,
삼성 미국 중소형 성장주 ETN(H),11790,0,0.00%,0,0,236,,,
모두투어리츠,3000,140,4.90%,5000,13798,235,23,25.86,1.13
에이리츠,6380,60,0.95%,5000,20458,235,6,6.58,4.6
TIGER 가격조정,21580,125,-0.58%,0,270,233,,,
부산주공,550,24,4.56%,500,359777,233,-69,-0.94,-7.09
세기상사,56900,100,-0.18%,5000,1006,232,-4,-67.02,-0.81
QV 스마트리밸런싱 250/3 ETN,11565,35,0.30%,0,5,231,,,
신한 구리 선물 ETN(H),11560,45,-0.39%,0,600,231,,,
청호컴넷,2755,65,2.42%,5000,19817,231,-60,15.65,2.16
TIGER 미국달러선물인버스2X,9145,55,-0.60%,0,102,229,,,
미래에셋 일본 중형주 ETN(H),11430,15,0.13%,0,1,229,,,
금호전기,2300,210,-8.37%,5000,249409,229,-478,-0.88,-7.22
ARIRANG 미국단기우량회사채,99305,30,0.03%,0,44,228,,,
미래에셋 미국 시니어론 100 ETN,11360,0,0.00%,0,0,227,,,
미래에셋 글로벌 리츠 ETN(H),11350,80,0.71%,0,10,227,,,
ARIRANG 미국장기우량회사채,98475,845,-0.85%,0,605,226,,,
씨아이테크,417,5,-1.18%,500,194957,226,-20,-8.02,-7.46
미래에셋 중국 심천 100 ETN,11210,90,0.81%,0,1,224,,,
QV 레버리지 WTI원유 선물 ETN(H),11180,15,-0.13%,0,54,224,,,
KINDEX 중국본토CSI300레버리지(합성),3320,65,2.00%,0,12078,222,,,
미래에셋 미국 리츠 ETN(H),11090,0,0.00%,0,0,222,,,
KBSTAR 국고채3년선물인버스,98980,95,0.10%,0,8,222,,,
일정실업,18400,750,4.25%,5000,1326,221,-84,-3.21,-10.14
삼성 미국 중소형 가치주 ETN,10985,0,0.00%,0,0,220,,,
FOCUS ESG리더스,7545,15,-0.20%,0,2,219,,,
HANARO KRX300,11700,5,0.04%,0,100,216,,,
신한 인버스 2X 은 선물 ETN(H),10785,90,0.84%,0,1231,216,,,
KINDEX 골드선물 레버리지(합성 H),14340,195,-1.34%,0,35619,215,,,
KODEX 미국달러선물,10555,35,0.33%,0,95905,214,,,
KBSTAR 모멘텀로우볼,10415,20,-0.19%,0,112,214,,,
QV 스마트리밸런싱 260/4 ETN,10670,0,0.00%,0,0,213,,,
KODEX 미국달러선물레버리지,10540,65,0.62%,0,148385,213,,,
미래에셋 미국 시니어론 100 ETN(H),10570,0,0.00%,0,0,211,,,
삼성 미국 중소형 가치주 ETN(H),10495,0,0.00%,0,0,210,,,
신한 인버스 2X S&P500 선물 ETN,10485,60,-0.57%,0,9113,210,,,
삼성 바이오 테마주 ETN,10460,130,-1.23%,0,12,209,,,
하이트론,3765,5,-0.13%,2500,3395,208,-10,28.96,1.18
삼성 화학 테마주 ETN,10410,0,0.00%,0,0,208,,,
QV S&P500 VIX S/T 선물 ETN B,20815,255,1.24%,0,1,208,,,
QV 자동차 TOP5 ETN,10365,0,0.00%,0,0,207,,,
QV 에너지 TOP5 ETN,10300,55,-0.53%,0,111,206,,,
KODEX TRF7030,10280,55,0.54%,0,3520,206,,,
KODEX TRF5050,10260,35,0.34%,0,1765,205,,,
KODEX 자동차,14605,85,0.59%,0,1296,204,,,
QV KTOP30 ETN,10220,0,0.00%,0,0,204,,,
신한 인버스 구리 선물 ETN(H),10100,0,0.00%,0,0,202,,,
대덕전자1우,6100,20,-0.33%,500,1290,202,,1.18,
TIGER 200IT레버리지,20100,170,0.85%,0,6736,201,,,
TRUE 다우존스 지속가능경영 코리아 ETN,10000,0,0.00%,0,20011,200,,,
신한 은 선물 ETN(H),9920,45,-0.45%,0,70,198,,,
미래에셋 레버리지 원유선물혼합 ETN(H),19810,15,0.08%,0,26,198,,,
하나니켈1호,870,15,1.75%,0,722350,198,,,
신한 코스피 월별 양매도 5% OTM ETN,9885,0,0.00%,0,0,198,,,
KODEX 코스피100,19770,0,0.00%,0,1983,198,,,
SK디스커버리우,14550,350,-2.35%,5000,3477,198,,3.7,
신한 레버리지 S&P500 선물 ETN,9880,85,0.87%,0,217,198,,,
신한 코스피 월별 양매도 3% OTM ETN,9855,0,0.00%,0,0,197,,,
KODEX 2차전지산업,7865,100,1.29%,0,9791,197,,,
ARIRANG 중형주저변동50,8185,90,-1.09%,0,417,196,,,
신한 코스피 콘도르 6/10% ETN,9755,0,0.00%,0,23,195,,,
신한 인버스 WTI원유 선물 ETN(H),9750,50,0.52%,0,44,195,,,
KTOP 코스피50,17760,70,-0.39%,0,100,194,,,
KINDEX 중기국고채,107640,65,-0.06%,0,11,194,,,
TREX 200,25815,30,-0.12%,0,30,194,,,
신한 USD K200 선물 바이셀 ETN,9645,20,0.21%,0,119,193,,,
KODEX MSCI KOREA ESG유니버설,7680,0,0.00%,0,0,192,,,
한진칼우,35500,500,-1.39%,2500,9583,191,,-51.98,
태영건설우,7350,90,1.24%,500,13122,188,,3.07,
KODEX 배당성장채권혼합,10405,15,-0.14%,0,3811,187,,,
하이트진로2우B,16500,100,0.61%,5000,7862,186,,52.88,
TIGER 미국S&P500레버리지(합성 H),16935,125,0.74%,0,6917,186,,,
QV 바이오 TOP5 ETN,9235,110,-1.18%,0,256,185,,,
TIGER 배당성장,13675,70,-0.51%,0,979,185,,,
마이다스 200커버드콜5%OTM,11490,0,0.00%,0,0,184,,,
TRUE 빅5 동일가중 ETN,9125,0,0.00%,0,0,182,,,
한국주강,1605,15,-0.93%,500,13725,182,-89,-1.79,-13.93
QV 롱숏 K150 매수 로우볼 매도 ETN,8895,0,0.00%,0,0,178,,,
FOCUS KRX300,11790,30,-0.25%,0,2,177,,,
신한 인버스 은 선물 ETN(H),8765,35,0.40%,0,1,175,,,
미래에셋 Q150 Core5 ETN,8765,0,0.00%,0,0,175,,,
KBSTAR 모멘텀밸류,10295,5,0.05%,0,17,175,,,
KODEX 미국S&P고배당커버드콜(합성 H),9670,45,0.47%,0,4296,174,,,
신한 K200 USD 선물 바이셀 ETN,8685,110,-1.25%,0,12,174,,,
TRUE 코리아프리미어 ETN,8635,0,0.00%,0,0,173,,,
TIGER 코스닥150선물인버스,9335,75,0.81%,0,256249,173,,,
QV 화학 TOP5 ETN,8595,135,1.60%,0,105,172,,,
대상우,12400,100,0.81%,1000,7824,170,,6.89,
삼성 온라인쇼핑 테마주 ETN,8430,0,0.00%,0,0,169,,,
삼성 증권 테마주 ETN,8415,100,-1.17%,0,1100,168,,,
KINDEX 밸류대형,6390,10,-0.16%,0,30,166,,,
QV 건설 TOP5 ETN,8300,115,-1.37%,0,1,166,,,
대신 인버스 2X 니켈선물 ETN(H),8265,25,0.30%,0,15508,165,,,
KINDEX 인도네시아MSCI(합성),10255,215,2.14%,0,11232,164,,,
KBSTAR 채권혼합,54495,60,-0.11%,0,11,163,,,
신한 인버스 금 선물 ETN(H),8105,0,0.00%,0,0,162,,,
QV 인버스 레버리지 10년 국채선물 ETN,16125,15,0.09%,0,1,161,,,
금호산업우,54700,1300,-2.32%,5000,33796,160,,-4207.69,
QV 조선 TOP5 ETN,7965,125,1.59%,0,132,159,,,
KOSEF 200 선물,11340,10,-0.09%,0,2351,159,,,
ARIRANG 미국S&P500(H),12210,10,0.08%,0,1694,159,,,
KODEX 국채선물10년,72995,180,-0.25%,0,1517,158,,,
신한 WTI원유 선물 ETN(H),7835,10,-0.13%,0,46,157,,,
현대건설우,158500,500,0.32%,5000,432,157,,46.29,
대한항공우,14050,50,-0.35%,5000,6605,156,,-6.98,
삼성 인버스 2X 금 선물 ETN(H),15605,160,1.04%,0,2039,156,,,
TIGER 200 에너지화학,11360,50,0.44%,0,232,154,,,
TIGER 대형가치,8325,10,-0.12%,0,1886,154,,,
KODEX 건설,2605,20,-0.76%,0,48331,154,,,
ARIRANG ESG우수기업,7665,5,0.07%,0,17,153,,,
KODEX 바이오,7365,115,-1.54%,0,28847,153,,,
KODEX KTOP30,12765,15,-0.12%,0,232,153,,,
신한 인버스 2X 미국달러 선물 ETN,7595,35,-0.46%,0,1016,152,,,
TRUE 섹터탑픽 ETN,7560,0,0.00%,0,0,151,,,
신한 천연가스 선물 ETN(H),5000,65,-1.28%,0,10780,150,,,
QV 인버스 레버리지 S&P500 ETN,7425,35,0.47%,0,31,148,,,
KODEX 미국달러선물인버스2X,9165,55,-0.60%,0,136060,148,,,
신한 콩 선물 ETN(H),7420,0,0.00%,0,0,148,,,
KOSEF 인도Nifty50(합성),12865,60,-0.46%,0,20896,148,,,
KOSEF 국고채10년레버리지,147540,885,-0.60%,0,3301,148,,,
KODEX 턴어라운드투자,10435,45,-0.43%,0,296,146,,,
삼성 S&P500 VIX S/T 선물 ETN(H) B,19360,45,0.23%,0,4355,145,,,
SMART 선진국MSCI World(합성 H),13095,20,-0.15%,0,2,144,,,
미래에셋 인버스 미디어엔터 Core5 ETN,14265,0,0.00%,0,0,143,,,
미래에셋 인버스 에너지화학 Core5 ETN,7130,0,0.00%,0,0,143,,,
KODEX 글로벌4차산업로보틱스(합성),10550,30,-0.28%,0,1036,142,,,
신한 레버리지 금 선물 ETN,14115,100,-0.70%,0,34118,141,,,
KODEX KRX300레버리지,8270,40,-0.48%,0,3284,141,,,
KINDEX 스마트모멘텀,10765,5,-0.05%,0,20,140,,,
KOSEF 200선물인버스2X,8460,25,0.30%,0,34768,140,,,
TRUE 인버스 2X S&P500 선물 ETN(H),6950,65,-0.93%,0,65942,139,,,
TIGER 일본니케이225,13845,95,0.69%,0,805,138,,,
파워 고배당저변동성,25560,70,-0.27%,0,32,138,,,
HANARO 고배당,8820,5,0.06%,0,1000,137,,,
KODEX 반도체,19520,25,0.13%,0,1933,137,,,
